"","cena","Powierzchnia","Forma.własności","Liczba.pokoi","Stan.wykończenia","Piętro","Balkon...ogród...taras","Czynsz","Miejsce.parkingowe","Obsługa.zdalna","Ogrzewanie","Rynek","Typ.ogłoszeniodawcy","Rok.budowy","Rodzaj.zabudowy","Okna","Winda","Media","Wyposażenie","Materiał.budynku","miasto","data","Zabezpieczenia","Informacje.dodatkowe","Dostępne.od"
"1:21","265 000 zł","30 m²","spółdzielcze własnościowe","1 ","do remontu","parter/10","Zapytaj","350 zł","garaż/miejsce parkingowe","tak","miejskie","wtórny","prywatny","1980","blok","plastikowe","tak","telewizja kablowa, internet, telefon",NA,"wielka płyta","Poznan","19.12.2022","drzwi / okna antywłamaniowe, domofon / wideofon","piwnica, pom. użytkowe",NA
"1:22","315 000 zł","32,94 m²","Zapytaj","2 ","do wykończenia","1/6","balkon","350 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","wtórny","biuro nieruchomości ","2022","blok","plastikowe","tak",NA,NA,"silikat","Poznan","19.12.2022",NA,NA,"2022-12-01"
"1:23","310 000 zł","31,88 m²","pełna własność","1 ","do wykończenia","1/5","balkon","300 zł","garaż/miejsce parkingowe","tak","miejskie","pierwotny","prywatny","2023","apartamentowiec","plastikowe","nie","telewizja kablowa, internet, telefon",NA,"silikat","Poznan","19.12.2022","teren zamknięty, domofon / wideofon, monitoring / ochrona",NA,NA
"1:24","315 000 zł","37 m²","pełna własność","2 ","do remontu","1","balkon","350 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","tak","telewizja kablowa, internet, telefon",NA,NA,"Poznan","19.12.2022","domofon / wideofon","piwnica, oddzielna kuchnia",NA
"1:25","310 000 zł","26 m²","pełna własność","1 ","do zamieszkania","4/4","Zapytaj","500 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","1900","kamienica","drewniane","nie","telewizja kablowa, internet, telefon","lodówka, meble, piekarnik, kuchenka, pralka","cegła","Poznan","19.12.2022","domofon / wideofon",NA,NA
"1:26","241 500 zł","35,82 m²","pełna własność","2 ","do remontu","1/2","Zapytaj","367 zł","Zapytaj","Zapytaj","gazowe","wtórny","prywatny",NA,"kamienica","plastikowe","nie",NA,NA,"cegła","Poznan","19.12.2022",NA,NA,NA
"1:27","379 000 zł","37,3 m²","spółdzielcze własnościowe","2 ","do zamieszkania","7/10","balkon","450 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","1980","blok","plastikowe","tak",NA,"zmywarka, lodówka, piekarnik, kuchenka, pralka","wielka płyta","Poznan","19.12.2022","domofon / wideofon","piwnica",NA
"1:28","Zapytaj o cenę","34,06 m²","pełna własność","1 ","do wykończenia","5/7","balkon","Zapytaj","garaż/miejsce parkingowe","Wirtualny spacer","Zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poznan","19.12.2022",NA,NA,NA
"1:29","448 000 zł","32 m²","pełna własność","1 ","do wykończenia","3/4","balkon","350 zł","Zapytaj","Zapytaj","Zapytaj","wtórny","prywatny",NA,"kamienica","drewniane","tak","telewizja kablowa, internet, telefon",NA,"cegła","Poznan","19.12.2022","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon",NA,NA
"1:30","349 999 zł","31 m²","pełna własność","2 ","do zamieszkania","8/11","Zapytaj","350 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","wtórny","prywatny","1990","blok","plastikowe","tak","telewizja kablowa, internet","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","cegła","Poznan","19.12.2022","domofon / wideofon","piwnica",NA
"1:31","379 000 zł","35,3 m²","pełna własność","2 ","do zamieszkania","3/3","balkon","250 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","2006","blok","plastikowe","nie",NA,"zmywarka, piekarnik, kuchenka",NA,"Poznan","19.12.2022","teren zamknięty, domofon / wideofon","piwnica",NA
"1:32","268 900 zł","28,5 m²","pełna własność","1 ","do zamieszkania","poddasze","Zapytaj","190 zł","Zapytaj","Zapytaj","gazowe","wtórny","biuro nieruchomości ","2019","kamienica","drewniane","nie",NA,"meble","cegła","Poznan","19.12.2022",NA,NA,NA
"1:33","220 000 zł","19,5 m²","pełna własność","1 ","do zamieszkania","suterena/4","Zapytaj","250 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny",NA,"kamienica","drewniane","tak","telewizja kablowa, internet","lodówka, meble, kuchenka, pralka","cegła","Poznan","19.12.2022","domofon / wideofon",NA,NA
"1:34","369 000 zł","38 m²","pełna własność","2 ","do zamieszkania","10/11","Zapytaj","380 zł","garaż/miejsce parkingowe","tak","miejskie","wtórny","prywatny","1987","blok","plastikowe","tak","telewizja kablowa, internet, telefon","meble, piekarnik, kuchenka","wielka płyta","Poznan","19.12.2022","drzwi / okna antywłamaniowe, domofon / wideofon","piwnica, oddzielna kuchnia, pom. użytkowe",NA
"1:35","376 970 zł","34,27 m²","pełna własność","1 ","do wykończenia","4/5","Zapytaj","Zapytaj","garaż/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomości ","2022","blok","plastikowe","tak","telewizja kablowa, internet, telefon",NA,NA,"Poznan","19.12.2022","domofon / wideofon",NA,"2022-09-01"
"1:36","340 000 zł","37,9 m²","pełna własność","2 ","do zamieszkania","parter/1","Zapytaj","350 zł","Zapytaj","Zapytaj","gazowe","wtórny","prywatny","1925","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","cegła","Poznan","19.12.2022","drzwi / okna antywłamaniowe, domofon / wideofon","piwnica",NA
"1:37","329 000 zł","31 m²","pełna własność","2 ","do zamieszkania","2","Zapytaj","300 zł","Zapytaj","Zapytaj","miejskie","pierwotny","prywatny","2022","blok","plastikowe","nie",NA,NA,NA,"Poznan","19.12.2022",NA,NA,NA
"1:38","347 000 zł","34,25 m²","pełna własność","2 ","Zapytaj","2/5","Zapytaj","Zapytaj","garaż/miejsce parkingowe","Zapytaj","miejskie","wtórny","prywatny","2022","blok","plastikowe","tak",NA,NA,NA,"Poznan","19.12.2022",NA,NA,NA
"1:39","355 000 zł","38 m²","spółdzielcze własnościowe","2 ","do zamieszkania","2/4","balkon","450 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","1978","blok","plastikowe","nie",NA,"zmywarka, lodówka, meble, piekarnik, pralka","wielka płyta","Poznan","19.12.2022","drzwi / okna antywłamaniowe, domofon / wideofon","piwnica",NA
"1:40","360 000 zł","38 m²","pełna własność","2 ","do zamieszkania","1/4","balkon","380 zł","garaż/miejsce parkingowe","Zapytaj","miejskie","wtórny","prywatny","1965","blok",NA,"nie","telewizja kablowa, internet, telefon","zmywarka, lodówka, meble, kuchenka, telewizor, pralka",NA,"Poznan","19.12.2022","domofon / wideofon, monitoring / ochrona","piwnica, oddzielna kuchnia",NA
"1:41","339 000 zł","31 m²","spółdzielcze własnościowe","2 ","do zamieszkania","2/10","Zapytaj","350 zł","Zapytaj","Zapytaj","miejskie","wtórny","prywatny","1980","blok","plastikowe","tak",NA,"piekarnik, kuchenka",NA,"Poznan","19.12.2022","domofon / wideofon","piwnica",NA
"1:42","179 000 zł","23,1 m²","pełna własność","1 ","do remontu","1/3","Zapytaj","Zapytaj","Zapytaj","tak","Zapytaj","wtórny","prywatny",NA,"kamienica","plastikowe","nie",NA,NA,"cegła","Poznan","19.12.2022",NA,NA,NA
"2","361 000 zł","38 m²","pełna własność","2 ","do zamieszkania","poddasze","Zapytaj","Zapytaj","Zapytaj","tak","gazowe","wtórny","biuro nieruchomości ",NA,"kamienica","plastikowe","nie",NA,"zmywarka, lodówka, meble, piekarnik, kuchenka","cegła","Poznan","19.12.2022","domofon / wideofon","pom. użytkowe",NA
